willing_for_participation,,,role_in_conference,result_after_hearing_Education_Keynote,panel_attended,pannel_attended_all_apply,"Please explain more, if you choose ""None of the above"" for the previous question.",knowledge_increase,"desire_for_collaboration 
",Grant_Application_Intent,Volunteering _in_community,involving_panelists_ community,Well_representation_of_Diverse panelists,Well_representation_of_Multiple_service_models,committed_to_being_engaged_in_community,Learnings_from_LUD,Inspired_for_being_more_socially_committed_responsible,experience_with_networking_with_other_LUD_participants_or_speakers,conference_improovement,comments_or_suggestions
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Disagree,Not applicable,Disagree,Neutral,Agree,Neutral,Neutral,There is more to the field of education than meets the eye,neutral.,Met interesting people,Conference can be completed on time,No
"Yes, I am happy to participate in this survey",,,Research scholar ,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Learnt to think in a different and innovative way.,"Yes, by giving new ideas.",It was a very good interactive session.,More interactive sessions would help.,No.
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Flaws of Education System today and policies made by government ,yes as i feel more responsible towards my community ,It was fun and exciting ,it was pretty good already ,no
"Yes, I am happy to participate in this survey",,,Research scholar ,Processing what I heard today and uncertain of my next step,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Community service inclusiveness ,To focus more on inclusiveness and engage in community service ,Good,--,Nil
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Neutral,The importance of taking a stand on what and why is education ,Importance of making responsible students ,Good ,All good Ntg ,No 
"Yes, I am happy to participate in this survey",,,University Faculty or Staff,More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Listen to people’s stories ,Reach out to others ,Met many new friends and got new ideas to take home ,More lifts,None
"Yes, I am happy to participate in this survey",,,Ph D Scholar,Processing what I heard today and uncertain of my next step,"Re-Imagining Global Education Policies, Reforms and Innovations, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Holistic understand. Understand issues of other communities.,Yes,Great,It's good,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Work hard for making dreams a reality,.,.,.,.
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,It increased my knowledge on various topics,"Yesss 
I was inspired by the panelists to get involved in my community
",It was great ,More doubt clearing sessi9,In panel discussions instead of panelists group of students can be made
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Motivate yourself ,"Yes , be helpful to one other",That was great,More interactive ,No
"Yes, I am happy to participate in this survey",,,"University Faculty or Staff, Educator",Going back to my community with the plan of calling others to community action,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Importance of action. Need for connections. ,Excited about possible connection between VCU and Christ university. ,Wonderful,None,No thank you
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,"The importance of education, learning and teachers.",Yes,Good,It was very interactive next time you can bring in more people frim different countries.,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,I am now inspired to involve myself more in community services.,Yes,Very inspiring ,More visual aids,Nothing.
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,On how diversity can be our strength in wherever we are. On how education can attempt to level the field. ,On how to translate research into everyday actions for the larger community. ,It was nice. Very engaging and inspiring. ,There could have been paper presentations. ,No comments.
"Yes, I am happy to participate in this survey",,,University Faculty or Staff,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Empowering ,Motivated ,Excellent ,More public ,No
"Yes, I am happy to participate in this survey",,,Community Social Service Provider/NGO,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Reimagine education ,Yes,Insightful ,No,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Your society plays a big part in influencing your upbringing ,it gave me an insight into how interesting and effective a real efficient education system could me,Even thought everyone is different in their ethnicity how a common factor can guide you all together,Publicise it more ,no
"Yes, I am happy to participate in this survey",,,Research Scholar,Processing what I heard today and uncertain of my next step,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Agree,Neutral,Break down the boundaries to achieve what you want.,"Yes. To actually give something back to the community in someway, someday.",Good to connect with new people ,NA,NA
"Yes, I am happy to participate in this survey",,,Educator,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Collaboration ,Yes. More engaging and collaborative ,Good,Nil,Nil
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Connect with community,"Yes , it has motivated me to address issues from the roots and be accountable for my responsibilities.","Great , connection is the solution ",More practical way of discussion ,No
"Yes, I am happy to participate in this survey",,,Student,Going back to my community with the plan of calling others to community action,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,To have a more open mindset,Yes definitely and it's because of the inspiring enlightenment ,It was great as networking always works to the better of us,No comments,No
"Yes, I am happy to participate in this survey",,,Educator,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,"Some days I have to be the light, some days I have to be the mirror. ","Yes, I feel refreshed. I want to give back something to the community. ",It was enriching. ,It was well executed.,To have further such innovative workshops in the future. 
"Yes, I am happy to participate in this survey",,,Student,Going back to my community with the plan of calling others to community action,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,to collaborate with relevant organizations to improve services within my organization,"Yes,to participate more in social activities ",I was lucky to be part of this event.This really inspired me to contribute more to society.,Make it more often,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Want to work hard more and moree ,Yeahh because of there wonderful speech ,It was much enough to know about education ,None ,No
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Strongly agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,#NAME?,Yes. To make atleast an hour's time everyday towards community ,It was a great experience ,No suggestions. It was a great conference ,None
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Neutral,Neutral,Neutral,Neutral,,,Agree, Good,Yes,Good,Already good,No
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,New horizons and ideas to Education was presented ,"Yes ,how small steps from our part can impact the society ",Great experienced person with a lot of input ,No comments ,"Well organised and coordinated,best panellists and delegates "
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,To be an active leader and participate more actively in the community ,"As a prior teach for India fellow, I am looking forward to connecting the students I worked with to the changemakers that I met today.",It was really good. Connected with a diverse bunch.,Registration process could be smoother and options to attend more panels should have been there.,None.
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,I want to collaborate with people and thereby give more to my community ,It very much did ,Very inspiring I feel content ,Nothing ,Nothing 
"Yes, I am happy to participate in this survey",,,Educator,More strongly committed to my specific community service organization,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Loved the immersive learning session. Would apply key take away in my own sector of work.,"As an educator, I am equiped with better information and knowledge on the current state and it helped me ponder more on my thoughts of ways I can help build better communities with empowered individuals.","Unable to network much, looking forward for more on the other days.",Well organized and well facilitated. No suggestions so far.,-
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Agree,It has given me a new perspective of education ,Yes ,It's was insightful ,None,None 
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Together we can heal the world and also eachother,It shows me the diversity and different options available all-around ,Amazing,I'm happy with the outcome,I'm really grateful to be a volunteer and as a participant
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Education is an important tool to change the world ,NA,NA,NA,NA
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,It was insightful and thought provoking ,Yes,Good,NA,NA
"Yes, I am happy to participate in this survey",,,"University Faculty or Staff, Student",Planning to get involved within my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Inclusiveness,Being broad-minded,Beautiful,No comments,Satisfied
"Yes, I am happy to participate in this survey",,,SWO Volunteer,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",--,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,...,...,...,....,...
"Yes, I am happy to participate in this survey",,,Participant,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,"Inclusive, intresting","Yes, very much",Very nice,By more fun and interaction,Noo
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,"Learned about the educations system and policies , the things needed to be done to have a repute and disciplined life . ","Yes , I was socializing with my beside attendees and created a good environment of understanding the conference together and got to know better about each other .",They were well prepared and interactive.,Reducing the time limit of each conference and make it more interactive.,"No, everything was arranged and performed well and good . "
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,It needed to give more wisdom than information ,Yes it inspired me because it has shown that the different views of education and how to be taught ,They inspired me that how the community should be developed and be peaceful ,Can give some refreshments for participants ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Very inspiring ,Yes,Very good,It is very inspiring,No
"Yes, I am happy to participate in this survey",,,Student,Going back to my community with the plan of calling others to community action,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Sessions was fruitful and more informative.....,"Yes, it's inspired me a lot.....",It was great moment.....,Some more discussions can be bought up....,"No, over all it was good....."
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,"1. Create change 
2. Initiate 
3. Bring about a smile
4. Don't hesitate 
5. Think out of the box
","Yes , I am.ready to do things for the society to create a change and bring a smile. ",Couldn't network but he was really good and his story was very motivating. ,By having more networking time ,Nope
"Yes, I am happy to participate in this survey",,,Scholar ,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Attend conferences,Yes,Good,It was good,No
